TeamNumber,TeamMatch,DataPoints,FeetTravelled,RobotColor,GearsInferredAcquiredAtDispenser,GearsInferredPlacedOntoPeg,RobotWasInPositionToClimbAtCorrectTime,MaxSpeed
2872, 101, 1734, 507.82, Red, 3, 4, True, 428.805304167102
3950, 101, 1734, 281.70, Blue, 0, 1, True, 60.5795442865783
5016, 101, 1721, 525.13, Blue, 4, 4, True, 38.8881413775422
6706, 101, 1661, 344.14, Red, 2, 3, False, 627.938170563523
6746, 101, 1731, 438.93, Blue, 3, 4, True, 492.684801329573
810, 101, 1734, 326.04, Red, 1, 2, False, 61.158679651605
329, 103, 1751, 432.31, Blue, 3, 3, True, 1.29999999999995
353, 103, 1611, 479.51, Blue, 0, 1, True, 1.52315462117279
5099, 103, 1685, 413.49, Red, 0, 0, False, 261.863930023519
5736, 103, 1751, 373.57, Blue, 2, 3, True, 343.812872695042
6422, 103, 1747, 441.89, Red, 2, 3, True, 69.987359840804
6423, 103, 1749, 420.67, Red, 1, 2, True, 54.8772757799535
1751, 104, 1572, 337.74, Blue, 0, 1, True, 4.80520551069358
2875, 104, 1568, 443.62, Blue, 3, 4, True, 3.92045915678254
358, 104, 1590, 658.49, Blue, 4, 5, True, 102.865839342479
4458, 104, 1563, 332.93, Red, 0, 1, False, 5.61426753904728
527, 104, 1590, 537.10, Red, 3, 4, True, 36.7887374090071
871, 104, 1588, 319.28, Red, 1, 2, True, 2.12602916254693
2872, 105, 1603, 522.36, Red, 3, 4, True, 69.0413514236288
3171, 105, 1600, 433.59, Blue, 2, 3, True, 10.8687886111668
514, 105, 1564, 269.96, Blue, 1, 2, True, 2.54950975679639
6706, 105, 1573, 393.54, Red, 1, 2, False, 4.4181444068749
810, 105, 1605, 300.42, Red, 1, 2, False, 16.3392303906568
870, 105, 1606, 334.43, Blue, 0, 1, True, 28.0515170567382
1468, 12, 1858, 634.25, Red, 3, 4, True, 4.17731971484108
2869, 12, 1861, 488.88, Blue, 3, 4, True, 55.6965238587235
358, 12, 1860, 452.89, Red, 2, 3, True, 4.56946386351834
3624, 12, 1860, 360.47, Blue, 1, 2, True, 3.60138862107382
5099, 12, 1862, 305.07, Red, 0, 0, False, 5.17880295048963
5659, 12, 1858, 394.47, Blue, 0, 1, True, 1.13137084989845
263, 17, 1561, 464.80, Red, 3, 3, False, 221.722995515672
2869, 17, 1572, 408.20, Red, 2, 3, False, 30.3039196226921
329, 17, 1574, 456.27, Blue, 2, 3, True, 25.5661156001001
514, 17, 1535, 383.30, Red, 2, 3, True, 2.66833281282527
5736, 17, 1574, 361.39, Blue, 2, 3, True, 42.8575965009174
6423, 17, 1573, 366.47, Blue, 1, 2, True, 376.224081588237
2872, 201, 1718, 573.98, Red, 3, 4, True, 242.936839754014
4458, 201, 1702, 292.15, Blue, 0, 1, True, 2.72029410174711
527, 201, 1718, 628.24, Blue, 4, 5, True, 2.8415460269669
6706, 201, 1708, 498.24, Red, 2, 3, False, 5.21536192416212
810, 201, 1709, 338.26, Red, 1, 2, True, 7.46726188103779
871, 201, 1717, 321.61, Blue, 0, 1, True, 17.4527489855275
